ID,FPS,LoopType (0: Single,1: Loop),,,
Skeleton3_death,10,0,,,,
,,,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,FLIPX (0:False, 1:True)
graphics/skeleton3_death.png,0,0,52,70,0,
graphics/skeleton3_death.png,52,0,52,70,0,
graphics/skeleton3_death.png,104,0,52,70,0,
graphics/skeleton3_death.png,156,0,52,70,0,
graphics/skeleton3_death.png,208,0,52,70,0,
graphics/skeleton3_death.png,260,0,52,70,0,
graphics/skeleton3_death.png,312,0,52,70,0,
graphics/skeleton3_death.png,364,0,52,70,0,
graphics/skeleton3_death.png,416,0,52,70,0,
graphics/skeleton3_death.png,468,0,52,70,0,
graphics/skeleton3_death.png,520,0,52,70,0,
graphics/skeleton3_death.png,572,0,52,70,0,
graphics/skeleton3_death.png,624,0,52,70,0,
graphics/skeleton3_death.png,676,0,52,70,0,
graphics/skeleton3_death.png,728,0,52,70,0,
graphics/skeleton3_death.png,780,0,52,70,0,
graphics/skeleton3_death.png,832,0,52,70,0,
graphics/skeleton3_death.png,884,0,52,70,0,
graphics/skeleton3_death.png,936,0,52,70,0,
graphics/skeleton3_death.png,988,0,52,70,0,
graphics/skeleton3_death.png,1040,0,52,70,0,
graphics/skeleton3_death.png,1092,0,52,70,0,
graphics/skeleton3_death.png,1144,0,52,70,0,
graphics/skeleton3_death.png,1196,0,52,70,0,
graphics/skeleton3_death.png,1248,0,52,70,0,
graphics/skeleton3_death.png,1300,0,52,70,0,
graphics/skeleton3_death.png,1352,0,52,70,0,
graphics/skeleton3_death.png,1404,0,52,70,0,
graphics/skeleton3_death.png,1456,0,52,70,0,
graphics/skeleton3_death.png,1508,0,52,70,0,
