ID,FPS,LoopType (0: Single,1: Loop),,,
Skeleton6_death,10,0,,,,
,,,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,FLIPX (0:False, 1:True)
graphics/skeleton6_death.png,0,0,56,68,0,
graphics/skeleton6_death.png,56,0,56,68,0,
graphics/skeleton6_death.png,112,0,56,68,0,
graphics/skeleton6_death.png,168,0,56,68,0,
graphics/skeleton6_death.png,224,0,56,68,0,
graphics/skeleton6_death.png,280,0,56,68,0,
graphics/skeleton6_death.png,336,0,56,68,0,
graphics/skeleton6_death.png,392,0,56,68,0,
graphics/skeleton6_death.png,448,0,56,68,0,
graphics/skeleton6_death.png,504,0,56,68,0,
graphics/skeleton6_death.png,560,0,56,68,0,
graphics/skeleton6_death.png,616,0,56,68,0,
graphics/skeleton6_death.png,672,0,56,68,0,
graphics/skeleton6_death.png,728,0,56,68,0,
graphics/skeleton6_death.png,784,0,56,68,0,
graphics/skeleton6_death.png,840,0,56,68,0,
graphics/skeleton6_death.png,896,0,56,68,0,
graphics/skeleton6_death.png,952,0,56,68,0,
graphics/skeleton6_death.png,1008,0,56,68,0,
graphics/skeleton6_death.png,1064,0,56,68,0,
graphics/skeleton6_death.png,1120,0,56,68,0,
graphics/skeleton6_death.png,1176,0,56,68,0,
graphics/skeleton6_death.png,1232,0,56,68,0,
graphics/skeleton6_death.png,1288,0,56,68,0,
graphics/skeleton6_death.png,1344,0,56,68,0,
graphics/skeleton6_death.png,1400,0,56,68,0,
graphics/skeleton6_death.png,1456,0,56,68,0,
graphics/skeleton6_death.png,1512,0,56,68,0,
graphics/skeleton6_death.png,1568,0,56,68,0,
graphics/skeleton6_death.png,1624,0,56,68,0,
