ID,FPS,LoopType (0: Single,1: Loop),,,
Skeleton5_death,10,0,,,,
,,,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,FLIPX (0:False, 1:True)
graphics/skeleton5_death.png,0,0,47,67,0,
graphics/skeleton5_death.png,47,0,47,67,0,
graphics/skeleton5_death.png,94,0,47,67,0,
graphics/skeleton5_death.png,141,0,47,67,0,
graphics/skeleton5_death.png,188,0,47,67,0,
graphics/skeleton5_death.png,235,0,47,67,0,
graphics/skeleton5_death.png,282,0,47,67,0,
graphics/skeleton5_death.png,329,0,47,67,0,
graphics/skeleton5_death.png,376,0,47,67,0,
graphics/skeleton5_death.png,423,0,47,67,0,
graphics/skeleton5_death.png,470,0,47,67,0,
graphics/skeleton5_death.png,517,0,47,67,0,
graphics/skeleton5_death.png,564,0,47,67,0,
graphics/skeleton5_death.png,611,0,47,67,0,
graphics/skeleton5_death.png,658,0,47,67,0,
graphics/skeleton5_death.png,705,0,47,67,0,
graphics/skeleton5_death.png,752,0,47,67,0,
graphics/skeleton5_death.png,799,0,47,67,0,
graphics/skeleton5_death.png,846,0,47,67,0,
graphics/skeleton5_death.png,893,0,47,67,0,
graphics/skeleton5_death.png,940,0,47,67,0,
graphics/skeleton5_death.png,987,0,47,67,0,
graphics/skeleton5_death.png,1034,0,47,67,0,
graphics/skeleton5_death.png,1081,0,47,67,0,
graphics/skeleton5_death.png,1128,0,47,67,0,
graphics/skeleton5_death.png,1175,0,47,67,0,
graphics/skeleton5_death.png,1222,0,47,67,0,
graphics/skeleton5_death.png,1269,0,47,67,0,
graphics/skeleton5_death.png,1316,0,47,67,0,
graphics/skeleton5_death.png,1363,0,47,67,0,
