ID,FPS,LoopType (0: Single,1: Loop),,,
Ghoul3_death,10,0,,,,
,,,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,FLIPX (0:False,1:True)
graphics/ghoul3_death.png,0,0,44,35,0,
graphics/ghoul3_death.png,44,0,44,35,0,
graphics/ghoul3_death.png,88,0,44,35,0,
graphics/ghoul3_death.png,132,0,44,35,0,
graphics/ghoul3_death.png,176,0,44,35,0,
graphics/ghoul3_death.png,220,0,44,35,0,
graphics/ghoul3_death.png,264,0,44,35,0,
graphics/ghoul3_death.png,308,0,44,35,0,
graphics/ghoul3_death.png,352,0,44,35,0,
graphics/ghoul3_death.png,396,0,44,35,0,
graphics/ghoul3_death.png,440,0,44,35,0,
graphics/ghoul3_death.png,484,0,44,35,0,
graphics/ghoul3_death.png,528,0,44,35,0,
graphics/ghoul3_death.png,572,0,44,35,0,
graphics/ghoul3_death.png,616,0,44,35,0,
graphics/ghoul3_death.png,660,0,44,35,0,
graphics/ghoul3_death.png,704,0,44,35,0,
graphics/ghoul3_death.png,748,0,44,35,0,
graphics/ghoul3_death.png,792,0,44,35,0,
graphics/ghoul3_death.png,836,0,44,35,0,
graphics/ghoul3_death.png,880,0,44,35,0,
graphics/ghoul3_death.png,924,0,44,35,0,
graphics/ghoul3_death.png,968,0,44,35,0,
graphics/ghoul3_death.png,1012,0,44,35,0,
graphics/ghoul3_death.png,1056,0,44,35,0,
graphics/ghoul3_death.png,1100,0,44,35,0,
graphics/ghoul3_death.png,1144,0,44,35,0,
graphics/ghoul3_death.png,1188,0,44,35,0,
graphics/ghoul3_death.png,1232,0,44,35,0,
graphics/ghoul3_death.png,1276,0,44,35,0,
